0	-nan	-nan	-nan	-nan	-nan	-nan
1	0.788475	0.325986	0.45763	0.445368	0.34785	0.62259
2	0.964193	0.385677	0.578169	0.547629	0.449764	0.771239
3	0.967548	0.387065	0.5784	0.551331	0.444096	0.774246
4	0.966506	0.386487	0.578978	0.573888	0.448491	0.773205
5	0.966159	0.383942	0.579788	0.558619	0.441435	0.772974
6	0.966275	0.385793	0.579672	0.550984	0.442129	0.772974
7	0.966044	0.385561	0.579672	0.549133	0.441088	0.772627
8	0.965812	0.386024	0.579441	0.549017	0.441782	0.772974
9	0.966044	0.386256	0.579904	0.548786	0.440625	0.772974
10	0.966275	0.386487	0.579788	0.547629	0.441204	0.772974
11	0.966159	0.386487	0.579672	0.549943	0.440162	0.772974
12	0.966044	0.386371	0.579557	0.544968	0.441435	0.772511
13	0.965697	0.386256	0.579441	0.551447	0.440162	0.773089
14	0.965812	0.373646	0.579788	0.549827	0.443286	0.772742
15	0.965812	0.371796	0.579672	0.551447	0.445599	0.772627
16	0.965697	0.381513	0.579557	0.555148	0.44664	0.772511
17	0.965697	0.384289	0.579557	0.555958	0.445137	0.772395
18	0.965465	0.385677	0.579441	0.550868	0.444443	0.772395
19	0.96535	0.385908	0.579441	0.554686	0.444443	0.772511
20	0.965581	0.386024	0.579672	0.551215	0.44317	0.772627
21	0.965697	0.38614	0.579672	0.553876	0.443864	0.772511
22	0.965697	0.386024	0.579557	0.550637	0.442707	0.772395
23	0.965581	0.386024	0.579325	0.551562	0.442939	0.772395
24	0.965234	0.386024	0.579557	0.5511	0.442823	0.772511
25	0.965697	0.385908	0.579557	0.552372	0.442939	0.772627
26	0.965581	0.38614	0.579672	0.546704	0.441898	0.772511
27	0.965465	0.386024	0.579325	0.54358	0.44826	0.772164
28	0.965118	0.385793	0.57921	0.546472	0.448029	0.772048
29	0.965003	0.385908	0.57921	0.5452	0.447682	0.771817
30	0.964887	0.385908	0.578978	0.54439	0.447335	0.772048
31	0.965118	0.385793	0.579325	0.544274	0.448029	0.772048
32	0.965118	0.386024	0.57921	0.545663	0.446293	0.772048
33	0.965234	0.385793	0.57921	0.542423	0.44745	0.771933
34	0.965003	0.385908	0.57921	0.544737	0.446525	0.771933
35	0.964887	0.385793	0.578978	0.542076	0.447335	0.771933
36	0.965118	0.385908	0.579325	0.545547	0.446988	0.772048
37	0.965118	0.386024	0.57921	0.541961	0.446293	0.772048
38	0.965118	0.385793	0.57921	0.545663	0.446756	0.772048
39	0.96454	0.385793	0.578747	0.549711	0.462142	0.771701
40	0.964424	0.385793	0.578631	0.550405	0.461448	0.77147
41	0.964309	0.385677	0.578631	0.54948	0.461216	0.771586
42	0.964424	0.385793	0.578747	0.549017	0.460753	0.771586
43	0.964656	0.385793	0.578747	0.549827	0.460522	0.771586
44	0.96454	0.385908	0.578631	0.549827	0.460175	0.771586
45	0.964656	0.385908	0.578747	0.547861	0.459828	0.77147
46	0.96454	0.385793	0.578631	0.550058	0.460059	0.771586
47	0.964656	0.385908	0.578863	0.547976	0.45925	0.771817
48	0.964887	0.386024	0.578978	0.543696	0.45763	0.771817
49	0.964424	0.385793	0.578516	0.539416	0.450921	0.77147
50	0.964424	0.385908	0.578516	0.538722	0.451152	0.771586
51	0.964424	0.385677	0.578631	0.539994	0.450458	0.77147
52	0.964193	0.385793	0.578516	0.539647	0.450342	0.77147
53	0.964424	0.385908	0.578516	0.539416	0.450458	0.77147
